Designator,Mid X,Mid Y,Rotation,Layer
R170,-363.0,-569.5,180.0,bottom
R171,-363.0,-572.5,-90.0,top
R172,-366.0,-519.0875,-90.0,top
R173,-333.0,-569.5,180.0,bottom
R174,-333.0,-572.5,-90.0,top
R175,-358.25,-517.0,0.0,top
R176,-287.2,-547.4625,-90.0,bottom
R177,-284.2,-547.4625,0.0,top
R178,-363.0,-572.5,0.0,bottom
R179,-333.0,-572.5,0.0,bottom
R18,-472.0,-460.0,-90.0,bottom
R180,-284.2,-547.4625,90.0,bottom
R181,-357.0,-559.5,90.0,top
R182,-327.0,-559.5,90.0,top
R183,-297.0,-541.4625,180.0,top
R184,-374.0,-519.0875,-90.0,top
R185,-357.0,-569.5,180.0,bottom
R186,-357.0,-572.5,-90.0,top
R187,-364.0,-519.0875,-90.0,top
R188,-327.0,-569.5,180.0,bottom
R189,-327.0,-572.5,-90.0,top
R19,-472.0,-490.0,-90.0,bottom
R190,-358.25,-515.0,0.0,top
R191,-287.2,-541.4625,-90.0,bottom
R192,-284.2,-541.4625,0.0,top
R193,-357.0,-572.5,0.0,bottom
R194,-327.0,-572.5,0.0,bottom
R195,-284.2,-541.4625,90.0,bottom
R196,-351.0,-559.5,90.0,top
R197,-372.0,-519.0875,-90.0,top
R198,-351.0,-569.5,180.0,bottom
R199,-351.0,-572.5,-90.0,top
R2,-308.6,-450.0,0.0,top
R20,-472.0,-514.0,-90.0,bottom
R200,-351.0,-572.5,0.0,bottom
R201,-297.0,-535.4625,180.0,top
R202,-426.275,-451.2,-90.0,top
R203,-358.25,-513.0,0.0,top
R204,-287.2,-535.4625,-90.0,bottom
R205,-284.2,-535.4625,0.0,top
R206,-397.2,-480.0,90.0,top
R207,-426.275,-441.2,0.0,bottom
R208,-426.275,-438.2,90.0,top
R209,-284.2,-535.4625,90.0,bottom
R21,-459.0,-466.0875,0.0,top
R210,-426.275,-438.2,180.0,bottom
R211,-297.2,-499.4625,180.0,top
R212,-297.2,-475.4625,180.0,top
R213,-358.25,-501.0,0.0,top
R214,-358.25,-493.0,0.0,top
R215,-297.0,-529.4625,180.0,top
